'Superdelação' da Camargo Corrêa ameaça o governo	http://cbn.globoradio.globo.com/grandescoberturas/operacao-lava-jato/2017/01/14/SUPERDELACAO-DA-CAMARGO-CORREA-DEIXA-O-GOVERNO-EM-ALERTA.htm
Ninguém quer pagar a conta	http://cbn.globoradio.globo.com/rio-de-janeiro/2017/01/14/COMITE-RIO-2016-E-CONCESSIONARIA-RIO-GALEAO-DIVERGEM-SOBRE-DIVIDAS-DA-OLIMPIADA.htm
Rio tem novo esquema de segurança	http://cbn.globoradio.globo.com/editorias/policia/2017/01/14/GUARDA-MUNICIPAL-E-PM-INICIAM-ACAO-CONJUNTA-NA-ORLA-DO-RIO.htm
MG faz mutirão para vacinar contra a febre amarela	http://cbn.globoradio.globo.com/editorias/ciencia-saude/2017/01/14/CIDADES-MINEIRAS-FAZEM-MUTIRAO-DE-VACINACAO-CONTRA-A-FEBRE-AMARELA.htm
15/01/2017 - Pacote de viagem para Bonito será oferecido aos visitantes da Showtec 2017	http://feedproxy.google.com/~r/portalbonito/~3/UQOaXYJahPs/pacote-de-viagem-para-bonito-sera-oferecido-aos-visitantes-da-showtec-2017
Dupla do Brasil vence no Dakar	http://cbn.globoradio.globo.com/programas/cbn-esportes/2017/01/15/BRASILEIROS-SAO-CAMPEOES-NA-CATEGORIA-UTVS-DO-RALLY-DAKAR-2017.htm
Desfiles do RJ já tem ingressos esgotados	http://cbn.globoradio.globo.com/rio-de-janeiro/2017/01/14/EM-25-MINUTOS-PARTE-DOS-INGRESSOS-DA-SAPUCAI-SE-ESGOTAM.htm
Ex-senador colombiano é preso por receber suborno da Odebrecht	http://cbn.globoradio.globo.com/editorias/internacional/2017/01/15/EX-SENADOR-COLOMBIANO-E-PRESO-POR-SUSPEITA-DE-RECEBER-SUBORNO-DA-ODEBRECHT.htm
Guerra entre facções acaba em tiroteio na Zona Norte do Rio	http://cbn.globoradio.globo.com/editorias/policia/2017/01/15/TIROTEIO-ENTRE-CRIMINOSOS-NA-ZONA-NORTE-DO-RIO-LEVA-PANICO-AOS-MORADORES.htm
PMs dizem que não têm dinheiro para ir ao trabalho	http://cbn.globoradio.globo.com/rio-de-janeiro/2017/01/14/COM-SALARIOS-ATRASADOS-PMS-DO-RJ-DIZEM-NAO-TER-DINHEIRO-PARA-IR-AO-TRABALHO.htm
Segunda fase da Unicamp começa neste domingo	http://cbn.globoradio.globo.com/editorias/pais/2017/01/15/PRIMEIRO-DIA-DA-SEGUNDA-FASE-DO-VESTIBULAR-DA-UNICAMP-COMECA-NESTE-DOMINGO.htm
Rebelião em presídio do RN acaba depois de 14 horas	http://cbn.globoradio.globo.com/editorias/pais/2017/01/15/REBELIAO-EM-PRESIDIO-DO-RN-ACABA-DEPOIS-DE-MAIS-DE-14-HORAS.htm
Dez presos fogem de cadeia na Grande BH	http://cbn.globoradio.globo.com/editorias/pais/2017/01/15/DEZ-DETENTOS-FOGEM-DE-PRESIDIO-EM-IBIRITE-NA-REGIAO-METROPOLITANA-DE-BH.htm
